,case,complaining,artist,title,link
1,Arnstein v. ASCAP,False,Joe Burke,Joe Burke,https://blogs.law.gwu.edu/mcir/files/2018/12/mywishingsong-14n4vs1.mp3
0,Blume v. Spear,True,Fannie Beane,“My Own Sweet Darling”,https://blogs.law.gwu.edu/mcir/files/2018/12/myownsweetdarling-29b88x3.mp3
1,Jean et al. v. Bug Music,False,Nel Wyclef Jean and Jerry Duplessis,“My Love is Your Love”,https://blogs.law.gwu.edu/mcir/files/2018/12/myloveisyourlove-2lbq6bu.mp3
0,Wihtol v. Wells,True,Wihtol (I.B. Sergei),“My God and I”,https://blogs.law.gwu.edu/mcir/files/2018/12/mygodandiwhitol-1khz6s1.mp3
1,Wihtol v. Wells,False,"Latvian Folk Tune, arr. Kenneth H. Wells","Latvian Folk Tune, arr. Kenneth H. Wells",https://blogs.law.gwu.edu/mcir/files/2018/12/mygodandiwells-2oeucck.mp3
0,Smith v. Muehlebach Brewing,True,Leonard Smith,"“Proposed Advertising Jingle for
Muehlebach Beer”",https://blogs.law.gwu.edu/mcir/files/2018/12/muehlebachbeersmith-1olejxq.mp3
0,Strachborneo v. Arc Music,True,Ruth Stratchborneo,“MOJO Workout”,https://blogs.law.gwu.edu/mcir/files/2018/12/mojoworkout-27u8had.mp3
0,Nordstrom v. R.C.A.,True,Frank Nordstrom,“Mizpah” or “Shalom”,https://blogs.law.gwu.edu/mcir/files/2018/12/mizpahshalom-1ttt6h0.mp3
1,Italian Book Company v. Rossi,False,A. A. Galasso (Arr.),A. A. Galasso (Arr.),https://blogs.law.gwu.edu/mcir/files/2018/12/mammamiamhamaritari-1ls1g6b.mp3
0,Glover v. Austin,True, Corey Glover,“Make Up Your Mind”,https://blogs.law.gwu.edu/mcir/files/2018/12/makeupyourmind-1k5w2j6.mp3
1,Glover v. Austin,False,TLC,“Unpretty”,https://blogs.law.gwu.edu/mcir/files/2018/12/makeupyourmind-1k5w2j6.mp3
0,Heim v. Universal Pictures,True,Hajdu Imre (Heim),“Ma Este Meg Boldog Vagyok”,https://blogs.law.gwu.edu/mcir/files/2018/12/maestemeg-2lp7s4o.mp3
0,Italian Book Company v. Rossi,True,Paolo Citorello (Arr.),“”Luna mezzo mare”,https://blogs.law.gwu.edu/mcir/files/2018/12/lunamezzomare-1chxj67.mp3
1,McMahon v. Harms,False,John Openshaw,John Openshaw,https://blogs.law.gwu.edu/mcir/files/2018/12/lovesendsalittlegiftroses-25ikqtg.mp3
0,Three Boys Music v. Michael Bolton,True,Isley Brothers,“Love is a Wonderful Thing”,https://blogs.law.gwu.edu/mcir/files/2018/12/loveisawonderfulthingisley-ty1kfi.mp3
1,Three Boys Music v. Michael Bolton,False,Michael Bolton and Andrew Goldmark,Michael Bolton and Andrew Goldmark,https://blogs.law.gwu.edu/mcir/files/2018/12/loveisawonderfulthingbolton-29g74zs.mp3
0,Jorgensen v. Epic/Sony Records,True,John L. Jorgensen,“Long Lost Lover”,https://blogs.law.gwu.edu/mcir/files/2018/12/LongLostLover-2fqpcw5.mp3
